,Name,MC_USD_Billion,MC_GBP_Billion,MC_INR_Billion,MC_EUR_Billion
0,JPMorgan Chase,432.92,346.34,35910.71,402.62
1,Bank of America,231.52,185.22,19204.58,215.31
2,Industrial and Commercial Bank of China,194.56,155.65,16138.75,180.94
3,Agricultural Bank of China,160.68,128.54,13328.41,149.43
4,HDFC Bank,157.91,126.33,13098.63,146.86
5,Wells Fargo,155.87,124.7,12929.42,144.96
6,HSBC Holdings PLC,148.9,119.12,12351.26,138.48
7,Morgan Stanley,140.83,112.66,11681.85,130.97
8,China Construction Bank,139.82,111.86,11598.07,130.03
9,Bank of China,136.81,109.45,11348.39,127.23
